Date,Model,Store,Units_Sold,Price,Promotion,Festival_Season,Competitor_Price,Stock_Level,Lead_Time_Days,Web_Views
2025-01-01,iPhone 14 Pro Max,Kathmandu,120,180000,No,No,178000,500,10,2300
2025-01-01,iPhone 13,Kathmandu,95,125000,Yes,No,122000,400,8,1800
2025-01-01,iPhone 15 Pro,Kathmandu,70,210000,No,No,208000,350,12,2600
2025-01-01,iPhone 14 Pro Max,Pokhara,80,180000,No,No,178500,300,10,1500
2025-01-01,iPhone 13,Pokhara,60,125000,Yes,No,123000,250,8,1200
2025-02-01,iPhone 14 Pro Max,Kathmandu,130,180000,No,No,178000,450,10,2400
2025-02-01,iPhone 13,Kathmandu,88,120000,No,No,118000,350,8,1600
2025-02-01,iPhone 15 Pro,Kathmandu,78,210000,Yes,No,209000,330,12,2700
2025-02-01,iPhone 14 Pro Max,Pokhara,74,180000,No,No,178500,280,10,1400
2025-02-01,iPhone 13,Pokhara,58,120000,No,No,118500,240,8,1100
2025-03-01,iPhone 14 Pro Max,Kathmandu,145,175000,Yes,No,174000,420,10,2600
2025-03-01,iPhone 13,Kathmandu,92,120000,No,No,118500,300,8,1750
2025-03-01,iPhone 15 Pro,Kathmandu,84,205000,Yes,No,203500,310,12,2850
2025-03-01,iPhone 14 Pro Max,Pokhara,82,175000,Yes,No,173000,260,10,1550
2025-03-01,iPhone 13,Pokhara,65,120000,No,No,118000,210,8,1300
2025-04-01,iPhone 14 Pro Max,Kathmandu,160,175000,Yes,Yes,174000,390,10,3100
2025-04-01,iPhone 13,Kathmandu,105,118000,Yes,Yes,117500,280,8,2200
2025-04-01,iPhone 15 Pro,Kathmandu,96,205000,Yes,Yes,204000,300,12,3500
2025-04-01,iPhone 14 Pro Max,Pokhara,90,175000,Yes,Yes,173000,240,10,2100
2025-04-01,iPhone 13,Pokhara,70,118000,Yes,Yes,117000,200,8,1500
2025-05-01,iPhone 14 Pro Max,Kathmandu,155,180000,No,No,178000,350,10,2700
2025-05-01,iPhone 13,Kathmandu,98,120000,No,No,118000,260,8,1900
2025-05-01,iPhone 15 Pro,Kathmandu,88,210000,No,No,208500,280,12,3000
2025-05-01,iPhone 14 Pro Max,Pokhara,85,180000,No,No,178300,220,10,1600
2025-05-01,iPhone 13,Pokhara,66,120000,No,No,118000,180,8,1200
2025-06-01,iPhone 14 Pro Max,Kathmandu,170,180000,No,No,178000,340,10,3200
2025-06-01,iPhone 13,Kathmandu,110,120000,No,No,118000,250,8,2100
2025-06-01,iPhone 15 Pro,Kathmandu,100,210000,No,No,209000,270,12,3600
2025-06-01,iPhone 14 Pro Max,Pokhara,92,180000,No,No,178000,210,10,1700
2025-06-01,iPhone 13,Pokhara,72,120000,No,No,118000,170,8,1400
